source,filament,dist_min,dist_min_pc,pa,within_10arcmin
hops 56,filament254_north,12.00254868,0.04818127314,85.2588346,filament372_north filament61_north filament421_north filament78_north filament133_north filament180_north filament90_north filament262_north filament324_north filament397_north filament168_north filament46_north filament341_north filament177_north filament433_north filament248_north filament406_north filament360_north filament31_north filament444_north filament135_north filament303_north filament251_north filament373_north filament195_north filament132_north filament304_north filament91_north filament58_north filament219_north filament396_north filament47_north filament361_north filament280_north filament384_north filament30_north filament464_north filament134_north filament42_north filament217_north filament236_north filament395_north filament131_north filament182_north filament14_north filament196_north filament283_north filament410_north filament224_north filament154_north filament425_north filament44_north filament301_north filament247_north filament315_north filament12_north filament178_north filament43_north filament223_north filament403_north filament62_north filament284_north filament417_north filament394_north filament441_north filament254_north filament124_north filament296_north filament155_north filament225_north filament160_north filament45_north filament342_north filament122_north filament13_north filament228_north filament246_north filament26_north filament273_north filament32_north filament453_north
hops 58,filament61_north,14.47982287,0.05812567975,162.5949838,filament372_north filament61_north filament78_north filament133_north filament276_north filament90_north filament262_north filament324_north filament397_north filament168_north filament218_north filament46_north filament341_north filament433_north filament248_north filament406_north filament360_north filament31_north filament444_north filament135_north filament303_north filament251_north filament198_north filament373_north filament195_north filament132_north filament91_north filament58_north filament113_north filament219_north filament396_north filament47_north filament176_north filament361_north filament280_north filament384_north filament30_north filament193_north filament464_north filament134_north filament42_north filament217_north filament236_north filament92_north filament395_north filament131_north filament14_north filament196_north filament283_north filament410_north filament65_north filament224_north filament154_north filament44_north filament301_north filament247_north filament315_north filament12_north filament178_north filament166_north filament399_north filament43_north filament223_north filament403_north filament62_north filament284_north filament417_north filament93_north filament394_north filament441_north filament197_north filament254_north filament296_north filament155_north filament225_north filament188_north filament160_north filament45_north filament342_north filament13_north filament228_north filament191_north filament246_north filament26_north filament32_north filament453_north
hops 59,filament30_north,13.51677615,0.05425976607,11.75309562,filament372_north filament61_north filament78_north filament133_north filament276_north filament90_north filament262_north filament324_north filament397_north filament168_north filament218_north filament46_north filament341_north filament433_north filament248_north filament406_north filament360_north filament31_north filament444_north filament135_north filament303_north filament251_north filament198_north filament373_north filament195_north filament132_north filament91_north filament58_north filament113_north filament219_north filament396_north filament162_north filament47_north filament176_north filament361_north filament280_north filament384_north filament30_north filament193_north filament464_north filament134_north filament42_north filament217_north filament236_north filament92_north filament395_north filament131_north filament14_north filament196_north filament313_north filament283_north filament410_north filament65_north filament224_north filament154_north filament44_north filament247_north filament12_north filament166_north filament399_north filament43_north filament223_north filament403_north filament62_north filament284_north filament417_north filament93_north filament394_north filament441_north filament197_north filament254_north filament296_north filament155_north filament225_north filament188_north filament160_north filament45_north filament342_north filament228_north filament191_north filament246_north filament26_north filament32_north filament453_north
hops 60,filament30_north,14.20892891,0.05703824272,153.7102495,filament372_north filament61_north filament400_north filament78_north filament133_north filament311_north filament276_north filament90_north filament262_north filament324_north filament397_north filament168_north filament218_north filament341_north filament213_north filament433_north filament248_north filament406_north filament360_north filament31_north filament444_north filament114_north filament135_north filament251_north filament198_north filament373_north filament195_north filament132_north filament91_north filament58_north filament113_north filament219_north filament396_north filament162_north filament361_north filament280_north filament384_north filament30_north filament193_north filament464_north filament134_north filament42_north filament217_north filament236_north filament92_north filament395_north filament131_north filament14_north filament196_north filament313_north filament283_north filament410_north filament65_north filament224_north filament154_north filament44_north filament247_north filament166_north filament399_north filament43_north filament223_north filament403_north filament62_north filament284_north filament417_north filament111_north filament93_north filament394_north filament441_north filament197_north filament254_north filament296_north filament64_north filament155_north filament225_north filament188_north filament160_north filament342_north filament228_north filament191_north filament246_north filament26_north filament32_north filament453_north
hops 68,filament154_north,14.35029155,0.05760570823,2.459686951,filament75_north filament372_north filament61_north filament400_north filament347_north filament78_north filament133_north filament311_north filament276_north filament90_north filament262_north filament324_north filament112_north filament218_north filament213_north filament269_north filament248_north filament73_north filament406_north filament360_north filament31_north filament322_north filament114_north filament135_north filament251_north filament198_north filament74_north filament373_north filament164_north filament214_north filament195_north filament132_north filament91_north filament58_north filament113_north filament382_north filament162_north filament268_north filament389_north filament361_north filament280_north filament323_north filament30_north filament193_north filament464_north filament134_north filament109_north filament42_north filament217_north filament416_north filament370_north filament92_north filament395_north filament131_north filament14_north filament196_north filament313_north filament283_north filament410_north filament65_north filament154_north filament44_north filament247_north filament266_north filament166_north filament399_north filament43_north filament403_north filament62_north filament76_north filament284_north filament111_north filament93_north filament394_north filament441_north filament380_north filament197_north filament254_north filament312_north filament296_north filament64_north filament155_north filament188_north filament160_north filament314_north filament191_north filament246_north filament26_north filament267_north filament48_north filament32_north filament453_north
hops 70,filament154_north,3.771484119,0.01513969336,153.4703409,filament75_north filament372_north filament61_north filament400_north filament347_north filament78_north filament133_north filament311_north filament276_north filament90_north filament262_north filament324_north filament112_north filament218_north filament213_north filament269_north filament248_north filament73_north filament406_north filament360_north filament31_north filament322_north filament114_north filament135_north filament251_north filament198_north filament74_north filament373_north filament164_north filament214_north filament195_north filament132_north filament91_north filament58_north filament113_north filament382_north filament107_north filament162_north filament268_north filament389_north filament361_north filament280_north filament323_north filament30_north filament193_north filament464_north filament134_north filament109_north filament217_north filament416_north filament370_north filament92_north filament395_north filament131_north filament14_north filament196_north filament313_north filament283_north filament410_north filament65_north filament154_north filament247_north filament266_north filament166_north filament399_north filament403_north filament62_north filament76_north filament284_north filament111_north filament93_north filament394_north filament380_north filament197_north filament254_north filament312_north filament296_north filament64_north filament155_north filament188_north filament160_north filament314_north filament191_north filament246_north filament26_north filament267_north filament48_north filament32_north filament453_north
hops 71,filament154_north,26.93822742,0.108136874,160.9814479,filament75_north filament372_north filament61_north filament400_north filament347_north filament78_north filament311_north filament276_north filament90_north filament262_north filament324_north filament112_north filament218_north filament213_north filament269_north filament248_north filament73_north filament406_north filament360_north filament31_north filament322_north filament114_north filament135_north filament251_north filament198_north filament74_north filament373_north filament164_north filament214_north filament195_north filament132_north filament91_north filament58_north filament113_north filament382_north filament107_north filament162_north filament268_north filament389_north filament361_north filament280_north filament323_north filament30_north filament193_north filament464_north filament134_north filament109_north filament217_north filament416_north filament370_north filament92_north filament395_north filament131_north filament14_north filament196_north filament313_north filament283_north filament410_north filament65_north filament154_north filament247_north filament266_north filament166_north filament399_north filament403_north filament62_north filament76_north filament284_north filament111_north filament93_north filament394_north filament441_north filament380_north filament197_north filament254_north filament312_north filament296_north filament64_north filament155_north filament188_north filament160_north filament314_north filament191_north filament246_north filament26_north filament267_north filament48_north filament32_north filament453_north
hops 75,filament91_north,0.8492782068,0.003409218022,11.93964315,filament75_north filament372_north filament61_north filament400_north filament347_north filament78_north filament311_north filament106_north filament276_north filament90_north filament262_north filament324_north filament112_north filament218_north filament213_north filament269_north filament248_north filament73_north filament406_north filament31_north filament322_north filament114_north filament135_north filament251_north filament198_north filament74_north filament328_north filament164_north filament214_north filament195_north filament91_north filament58_north filament113_north filament382_north filament107_north filament162_north filament268_north filament389_north filament280_north filament323_north filament30_north filament193_north filament464_north filament134_north filament109_north filament217_north filament416_north filament370_north filament128_north filament92_north filament395_north filament131_north filament14_north filament196_north filament313_north filament283_north filament410_north filament65_north filament154_north filament247_north filament266_north filament166_north filament399_north filament403_north filament62_north filament76_north filament284_north filament111_north filament93_north filament394_north filament380_north filament197_north filament254_north filament312_north filament296_north filament319_north filament64_north filament155_north filament188_north filament314_north filament191_north filament246_north filament267_north filament321_north filament48_north filament32_north
hops 78,filament91_north,11.50777611,0.04619513063,36.06898501,filament75_north filament372_north filament61_north filament400_north filament347_north filament78_north filament311_north filament106_north filament276_north filament90_north filament262_north filament324_north filament112_north filament218_north filament213_north filament269_north filament248_north filament73_north filament31_north filament322_north filament114_north filament135_north filament251_north filament198_north filament74_north filament328_north filament164_north filament214_north filament41_north filament195_north filament126_north filament91_north filament58_north filament113_north filament382_north filament107_north filament162_north filament268_north filament389_north filament249_north filament280_north filament323_north filament30_north filament193_north filament464_north filament134_north filament109_north filament217_north filament416_north filament370_north filament128_north filament92_north filament395_north filament131_north filament14_north filament196_north filament313_north filament255_north filament283_north filament410_north filament65_north filament154_north filament247_north filament266_north filament166_north filament399_north filament403_north filament62_north filament76_north filament284_north filament111_north filament93_north filament394_north filament380_north filament197_north filament254_north filament312_north filament130_north filament296_north filament319_north filament64_north filament155_north filament188_north filament314_north filament191_north filament246_north filament267_north filament321_north filament48_north filament32_north
hops 81,filament91_north,16.79899305,0.06743541681,65.53662217,filament75_north filament61_north filament400_north filament347_north filament311_north filament106_north filament276_north filament90_north filament262_north filament324_north filament112_north filament218_north filament213_north filament269_north filament248_north filament73_north filament31_north filament322_north filament114_north filament135_north filament198_north filament74_north filament328_north filament164_north filament214_north filament41_north filament126_north filament91_north filament58_north filament113_north filament382_north filament107_north filament162_north filament268_north filament389_north filament249_north filament280_north filament323_north filament30_north filament193_north filament464_north filament134_north filament109_north filament217_north filament416_north filament370_north filament128_north filament92_north filament395_north filament14_north filament196_north filament313_north filament255_north filament283_north filament410_north filament65_north filament154_north filament247_north filament266_north filament166_north filament399_north filament403_north filament259_north filament62_north filament76_north filament284_north filament111_north filament93_north filament394_north filament380_north filament197_north filament312_north filament130_north filament296_north filament319_north filament64_north filament155_north filament188_north filament314_north filament191_north filament246_north filament267_north filament321_north filament48_north filament32_north
