dist	_RAJ2000	_DEJ2000	recno	n_SMZ	SMZ	SMZ2	m	RAJ2000	DEJ2000	n_DEJ2000	Outflow	alpha	N850	a850	b850	I850	F850	N1200	a1200	b1200	O1200	I1200	F1200	l_L	L	theta	l_PA	PA	HH
-1.0	083.826250	-5.528333	27	K	30	 	 	05 35 18.3	-05 31 42	 	IRS 30	-0.36	undetected	 	 	 	 	MMS 30	18	17	64	0.06	0.03	 	0.90	 	 	25	540
-1.0	083.795417	-5.396111	25	K	28	 	 	05 35 10.9	-05 23 46	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	 	 	 	 	510?
-1.0	083.798333	-5.394722	24	K	27	 	 	05 35 11.6	-05 23 41	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	 	 	 	 	510?
-1.0	083.795417	-5.386667	23	K	26	 	 	05 35 10.9	-05 23 12	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	2.60	 	 	125	 
-1.0	083.862083	-5.185278	19	K	21	22	m	05 35 26.9	-05 11 07	 	IRS 21	-1.01	emission	 	 	 	0.33	emission	 	 	 	 	0.10	 	1.60	 	 	175	 
-1.0	083.862500	-5.165000	15	K	17	 	m	05 35 27.0	-05 09 54	 	IRS 17?	0.54	emission	 	 	 	5.80	MMS 17	25	22	41	6.06	1.07	 	1.80	50	 	25	887
-1.0	083.857083	-5.163611	18	K	20	 	 	05 35 25.7	-05 09 49	 	IRS 20	0.14	emission	 	 	 	1.45	emission	 	 	 	 	0.36	 	0.70	 	 	175	 
-1.0	083.873333	-5.149444	16	K	18	 	 	05 35 29.6	-05 08 58	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	 	50	 	 	 
-1.0	083.847083	-5.119444	11	K	11	13	m	05 35 23.3	-05 07 10	 	IRS 11	0.17	AN-535236-50711	16	13	2.5	1.11	MMS 11	31	18	122	1.08	0.20	~	1.00	 	~	20	 
-1.0	083.925417	-5.077500	8	K	8	 	m	05 35 42.1	-05 04 39	)	?	 	?	 	 	 	 	?	 	 	 	 	 	 	 	 	 	 	 
-1.0	083.982083	-5.077222	75	N	102	 	 	05 35 55.7	-05 04 38	 	IRS 102	0.04	undetected	 	 	 	 	no obs	 	 	 	 	 	>	3.50	9	~	90	42
-1.0	083.881667	-5.003889	2	K	2	 	 	05 35 31.6	-05 00 14	 	IRS 2	-1.04	undetected	 	 	 	 	undetected	 	 	 	 	 	 	0.40	 	 	140	 
