RAJ2000 DEJ2000 VEL
83.60713696242591 -5.124011977194552 9831.1845610445
83.60691398563547 -5.123678514796812 9831.1845610445
83.6066910090647 -5.123345052288186 9831.1845610445
83.60646803271356 -5.123011589668635 9831.1845610445
83.60624505658204 -5.122678126938176 9831.1845610445
83.60613368510994 -5.122233597584426 9831.1845610445
83.60591070939707 -5.121900134668096 9831.1845610445
83.60568773390374 -5.121566671640827 9831.1845610445
83.60546480533976 -5.121122089295892 9831.1845610445
83.60524187706565 -5.120677506821787 10051.2127569115
83.60501894908134 -5.120232924218481 10051.2127569115
83.6047960213868 -5.11978834148594 10051.2127569115
83.60457309398197 -5.119343758624138 10051.2127569115
83.60446172411677 -5.118899228629892 10051.2127569115
83.60435035438914 -5.118454698572001 10051.2127569115
83.6041273807885 -5.118121234689505 10051.2127569115
83.60401601139722 -5.117676704492846 10051.2127569115
83.60396032675315 -5.1174544393706345 10051.2127569115
