RAJ2000 DEJ2000 VEL
83.8715215549672 -6.451104608322293 8511.0153858425
83.87185701394125 -6.450771255802292 8511.0153858425
83.87208065347785 -6.4504379026998215 8511.0153858425
83.8724161116425 -6.450104549893511 8511.0153858425
83.87263975086013 -6.449660078640044 8511.0153858425
83.872975208142 -6.449326725554558 8511.0153858425
83.87319884652594 -6.448882254148461 8511.0153858425
83.8734224845176 -6.448437782692781 8511.0153858425
83.87364612199451 -6.448104429126118 8511.0153858425
83.8738697591773 -6.4477710754931055 8511.0153858425
83.87398157778091 -6.447326603836443 8511.0153858425
83.8742052144 -6.446993250121736 8511.0153858425
83.87442885072504 -6.446659896340642 8511.0153858425
83.87454066859354 -6.4462154246695516 8511.0153858425
83.87465248626603 -6.445770953014573 8511.0153858425
83.87487612175806 -6.445437599136358 8511.0153858425
83.87498793896515 -6.444993127482108 8511.0153858425
83.87509975597631 -6.444548655843944 8511.0153858425
83.87521157279157 -6.444104184221798 8511.0153858425
83.87543520691206 -6.443659712385046 8511.0153858425
83.87554702294373 -6.443104122939008 8511.0153858425
83.87565883873066 -6.442548533530206 8511.0153858425
83.87588247177393 -6.442104061650445 8511.0153858425
83.87610610442557 -6.4416595897207145 8511.0153858425
83.87621791972317 -6.441215118147251 8511.0153858425
83.87644155168958 -6.4407706461613445 8511.0153858425
83.87666518326446 -6.440326174125348 8511.0153858425
83.87688881386043 -6.439770584276221 8511.0153858425
83.87711244396718 -6.439214994398172 8511.0153858425
83.87733607358476 -6.438659404491109 8511.0153858425
83.87755970344735 -6.438214932282802 8511.0153858425
83.87778333291867 -6.437770460024221 8511.0153858425
83.87789514589277 -6.437325988451174 8511.0153858425
83.87811877553581 -6.436992633837887 8511.0153858425
83.87845422177438 -6.436770396031443 8290.9871899755
83.87878966771957 -6.436548158036686 8290.9871899755
83.87912511337142 -6.436325919853656 8290.9871899755
83.87957237574126 -6.436214798124552 8290.9871899755
83.88001963791575 -6.436103676046346 8290.9871899755
83.88035508273668 -6.435881437157295 8290.9871899755
83.88069052726438 -6.435659198079915 8290.9871899755
83.88102597149886 -6.435436958814238 8290.9871899755
83.88136141387481 -6.435103601695871 8290.9871899755
83.8815850386528 -6.43465912820642 8290.9871899755
83.88180866304005 -6.434214654666544 8290.9871899755
83.88192047002529 -6.433659064968625 8290.9871899755
83.88203227847835 -6.433214592929457 8290.9871899755
83.88203227163231 -6.432770122454056 8070.9589941085
83.88203226478674 -6.432325652015964 8070.9589941085
83.88192044472005 -6.431992300738293 7850.930798241499
83.88180862480033 -6.431658949459631 7850.930798241499
83.88175271407059 -6.431436715026497 7850.930798241499
